table_name;mandatory_dependencies;mandatory_dependency_count;optional_dependencies;optional_dependency_count;total_dependency_count
support_ticket;customer_address;1;reorder_rule, billing_account;2;3
support_comment;general_ledger_account, purchase_return, product_supplier;3;;0;3
support_category;delivery_attempt, employee_role;2;status_code;1;3
support_priority;expense_category;1;;0;1
support_resolution;package_record;1;;0;1
contract_record;product_supplier, employee_contact;2;budget_record;1;3
contract_term;budget_record, status_code;2;purchase_order;1;3
contract_party;stock_adjustment;1;sales_order;1;2
contract_document;contract_record, product_bundle;2;;0;2
contract_renewal;product_supplier, customer_address;2;supplier_account, general_ledger_account;2;4
audit_event;customer_address;1;freight_rate;1;2
audit_detail;sales_return, journal_entry;2;;0;2
notification_record;product_attribute;1;measurement_unit;1;2
notification_template;support_comment, customer_profile;2;;0;2
notification_delivery;purchase_return, purchase_receipt;2;;0;2
report_definition;supplier_contact;1;country_code, sales_invoice_line;2;3
report_run;sales_channel, tax_category;2;;0;2
dashboard_definition;package_record, department_record;2;service_request, budget_record;2;4
dashboard_widget;credit_note, purchase_return;2;;0;2
user_preference;measurement_unit;1;;0;1
